External Library Name, Link to License, License Name, Binaries using the license.
Qt WebSockets, https://doc.qt.io/qt-5.12/qtWebSockets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libyuv, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe ./nimble_bridge.exe, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe ./nimble_bridge.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
None, Apache-2.0, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe android-emu-curl.dll ./nimble_bridge.exe android-emu-agents.dll ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./mksdcard.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe android-emu-metrics.dll, 
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe ./nimble_bridge.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
astc-codec, https://android.googlesource.com/platform/external/astc-codec/+/refs/heads/master/LICENSE, Apache-2.0, OpenglRender.dll, https://android.googlesource.com/platform/external/astc-codec/+/refs/heads/master
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, ./emulator.exe lib64/vulkan/vk_swiftshader.dll lib64/vulkan/vulkan-1.dll, https://vulkan.lunarg.com/sdk/home
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe ./nimble_bridge.exe, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe ./nimble_bridge.exe, https://chromium.googlesource.com/webm/libvpx/
fdt, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master/README.license, BSD-2-Clause, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe ./nimble_bridge.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe ./nimble_bridge.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
vcredist, https://marketplace.visualstudio.com/items/VisualStudioProductTeam.VisualStudioProjectSystemExtensibilityPreview/license, 2017-redistribution-vs, ./msvcp140_1.dll ./msvcp140_atomic_wait.dll ./vccorlib140.dll ./vcruntime140.dll lib64/msvcp140_atomic_wait.dll lib64/concrt140.dll ./msvcp140_codecvt_ids.dll ./vcruntime140_1.dll lib64/msvcp140.dll ./msvcp140_2.dll lib64/vcruntime140_1.dll lib64/msvcp140_2.dll lib64/msvcp140_codecvt_ids.dll lib64/msvcp140_1.dll ./concrt140.dll ./emulator.exe lib64/vcruntime140.dll ./msvcp140.dll lib64/vccorlib140.dll, https://docs.microsoft.com/en-us/visualstudio/productinfo/2017-redistribution-vs
Qt WebChannel, https://doc.qt.io/qt-5.12/qtWebChannel-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll android-emu-curl.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe android-emu-metrics.dll ./nimble_bridge.exe, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, ./emulator.exe OpenglRender.dll lib64/libshadertranslator.dll, https://chromium.googlesource.com/angle/angle
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, ./emulator.exe lib64/gles_swiftshader/libGLESv2.dll lib64/gles_swiftshader/libEGL.dll lib64/gles_swiftshader/libGLES_CM.dll, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/NOTICE, BSD-2-Clause, ./qemu/windows-x86_64/qemu-system-x86_64.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe android-emu-curl.dll ./nimble_bridge.exe android-emu-agents.dll ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe android-emu-metrics.dll, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
glib-2.0, https://gitlab.gnome.org/GNOME/glib/blob/master/COPYING, LGPL-2.1-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe lib64/glib-2-vs11.dll ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe ./nimble_bridge.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/glib-2.38.2.tar.xz
angle-renderer, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, ./emulator.exe lib64/gles_angle/libGLESv2.dll lib64/gles_angle/d3dcompiler_47.dll lib64/gles_angle/libEGL.dll, https://chromium.googlesource.com/angle/angle
dirent, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32/NOTICE, MIT, ./qemu/windows-x86_64/qemu-system-x86_64.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe android-emu-curl.dll ./nimble_bridge.exe android-emu-agents.dll ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu-img.exe ./emulator-check.exe android-emu-metrics.dll, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32
jsoncpp, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master/LICENSE, MIT, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe ./emulator-check.exe, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master
